Front,Back
"Define: temerity (tuh-mer-i-tee)","n. reckless confidence The temerity of the pirate crew cost them their ship. Root: temer (from Latin temere, meaning “rashly” or “recklessly”)"
"Define: depredate (dep-rih-deyt)","v. to plunder, pillage, destroy v. to exploit The Vikings depredated the whole valley. Prefix: de- (from Latin, meaning “down” or “away”), Root: pred (from Latin praedari, meaning “to plunder”)"
"Define: genuflect (djen-yoo-flekt)","v. to bend knee to ground (as in worship) v. to grovel The king's subjects genuflected when he entered the room. Root: genuflect (from Latin genu, meaning “knee” and flectere, meaning “to bend”)"
"Define: wend (wend)","v. to go, proceed, walk We wended our way through the market. Root: wend (from Old English wendan, meaning “to turn” or “to go”)"
"Define: pelagic (puh-ladj-ik)","adj. relating to open seas rather than waters adjacent to land The pelagic organism was only found in the deepest part of the ocean. Root: pelag (from Greek pelagos, meaning “sea”)"
"Define: froward (froh-werd)","adj. intractable, stubbornly disobedient, difficult to manage The froward mule sat down and refused to move all afternoon. Prefix: fro- (an old variant of “from”); Root: ward (indicating direction or tendency)"
"Define: punctilious (puhngk-til-ee-uhs)","adj. precise, paying attention to trivialities of etiquette A secretary who punctiliously records every detail. Root: punct (from Latin punctum, meaning “point”); Suffix: -ilious (indicating having the quality of)"
"Define: aphorism (af-uh-riz-uhm)","n. a tersely phrased truth or opinion; adage; epigram n. a brief statement of principle; or general truth The children had finally learned the meaning of the aphorism “You can't have your cake and eat it too”. Root: aphor (from Greek aphorizein, meaning “to define”); Suffix: -ism (indicating a practice or system)"
"Define: purloin (per-loin, per-loin)","v. to steal The manipulative thief purloined the diamonds after gaining the confidence of their location. Prefix: pur- (from Old French pur, meaning “for”); Root: loin (from Old French loigner, meaning “to remove”)"
"Define: esoteric (es-uh-ter-ik)","adj. intended for or understood only by a particular group adj. not publicly disclosed; confidential The esoteric ideas of the cult failed to enlighten many outsiders. Root: esoter (from Greek esoterikos, meaning “inner” or “within”)"
"Define: succor (suhk-er)","n. relief during a time of struggle The Red Cross provides succor to refugees in emergency shelters. Root: succor (from Latin succurrere, meaning “to run to help”)"
"Define: protean (proh-tee-uhn)","adj. readily assuming different forms or characters, versatile Fans regarded the protean actress as capable of playing any role. Root: Proteus (from Greek mythology, a sea god known for changing shape)"
"Define: callous (kal-uhs)","adj. insensitive; having no feeling The callous remark upset the entire family. Root: call (from Latin callum, meaning “hard skin”)"
"Define: proscribe (proh-skrahyb)","v. to prohibit or forbid as harmful or unlawful Citizens pushed to proscribe swimming in the polluted lake. Prefix: pro- (indicating forward or forth); Root: scribe (from Latin scribere, meaning “to write”)"
"Define: denouement (dey-noo-mahn)","n. an outcome or solution to a complex series of events Though public interest slackened after the arsonist was caught, the denouement of the case was just as interesting as the manhunt that had preceded it. Root: noue (from Latin nodare, meaning “to knot”); Prefix: de- (indicating removal or reversal)"
"Define: supercilious (soo-per-sill-ee-uhs)","adj. arrogant, overbearing; displaying condescending superiority over someone else His supercilious behavior drove away many of his peers. Prefix: super- (meaning “above” or “over”); Root: cili (from Latin cilium, meaning “eyelid”)"
"Define: parley (pahr-lee)","n. discussion between enemies, often to prepare terms of surrender The longtime enemies held a parley to work on peace negotiations. Root: parler (from French, meaning “to speak”)"
"Define: apoplectic (ap-uh-plek-tik)","adj. furious; enraged; overcome with anger When Jim found out he was fired, he apoplectically stormed out of the office. Root: apoplex (from Greek apoplexia, meaning “a seizure”); Suffix: -tic (indicating pertaining to)"
"Define: simper (sim-per)","v. to say with a coy smile; to smirk Dave simpered a feeble attempt at an apology. Root: simper (from Middle English simperen, meaning “to smile”)"
"Define: miscegenation (mih-sedj-uh-ney-shuhn)","n. the interbreeding of different races n. any mixture or hybrid Miscegenation, the intermarriage or mixing of different racial groups, was historically met with social and legal barriers in many societies. But today, miscegenation is widely accepted in many societies, and interracial relationships are common and often celebrated as a sign of cultural diversity and tolerance. Prefix: misc- (from Latin miscere, meaning “to mix”); Root: gen (from Latin genus, meaning “race” or “kind”); Suffix: -ation (indicating an action or process)"
"Name the vocab term: n. recklessness Hint: starts with “t”","temerity synonyms: arrogance, brashness, foolhardiness, audacity, impudence His temerity in challenging the seasoned lawyer surprised everyone in the courtroom."
"Fill in the blank: The invaders ________ the village, leaving little behind. Hint: Starts with “d” and means “to plunder or destroy”.","depredated depredate (dep-rih-deyt) v. to plunder, pillage, destroy v. to exploit"
"Name the vocab term: v. to bend knee to ground (as in worship) v. to grovel Hint: starts with “g”","genuflect synonyms: kneel, beg, bow, prostrate, submit The faithful genuflect before the altar during the ceremony. He would rather leave the company than genuflect to the unreasonable demands of his boss."
"Fill in the blank: After the meeting, she ________ her way through the crowded streets back home. Hint: Starts with “w” and means “to go or proceed”.","wended wend (wend) v. to go, proceed, walk"
"Name the vocab term: adj. relating to open seas rather than waters adjacent to land Hint: starts with “p”","pelagic synonyms: aquatic, oceanic, marine, deep-sea, oceanic The pelagic fish are adapted to life far from the shores, swimming in the deep ocean."
"Fill in the blank: The ________ child refused to listen to any instructions from his teacher. Hint: Starts with “f” and means “stubbornly disobedient”.","froward froward (froh-werd) adj. intractable, stubbornly disobedient, difficult to manage"
"Name the vocab term: adj. precise, paying attention to trivialities of etiquette Hint: starts with “p”","punctilious synonyms: meticulous, careful, finicky, scrupulous, exacting, detailed She was punctilious about every detail of the formal dinner, ensuring everything was perfect."
