Front,Back
"Define: burnish (bur-nish)","v. to polish or make shine n. a shiny appearance The store owner's son's only job was to burnish the statues in the window every day. Suffix: -ish (used to form verbs meaning 'to make or cause to be')"
"Define: buttress (but-riss)","n. a supporting structure v. to support or encourage The parents decided to buttress the after-school programs that were in danger of ending by making donations. Root: butt (from Old French boter, meaning “to strike or thrust”)"
"Define: equivocate (i-kwiv-uh-keyt)","v. to make vague, unclear statements The mayor equivocated when confronted about his use of public funds. Prefix: equi- (from Latin aequi, meaning “equal”); Root: voc (from Latin vocare, meaning “to call”)"
"Define: paragon (par-uh-gon)","n. a model of excellence The man was a paragon of virtue who had never stolen so much as a loaf of bread in his life. Prefix: para- (from Greek para, meaning “beside” or “beyond”); Root: gon (from Greek gonia, meaning “angle”)"
"Define: cacophony (kuh-kof-uh-nee)","n. unpleasant, discordant sounds The orchestra's first attempt to play together was a cacophony of jarring notes. Prefix: caco- (from Greek kakos, meaning “bad”); Root: phon (from Greek phone, meaning “sound”)"
"Define: mawkish (maw-kish)","adj. overly sentimental to a sickening point The group of graduating seniors was a mawkish sight, crying and taking hundreds of pictures. Suffix: -ish (used to form adjectives, meaning “having the quality of”)"
"Define: cajole (kuh-djohl)","v. to make someone do something with flattery or promises Mother cajoled her into driving the other children to school, promising to make her favorite dinner. Root: cajol (from French cajoler, meaning “to coax”)"
"Define: dogmatic (dawg-matt-ik)","adj. rigidly fixed in opinion or expression in an arrogant manner The dogmatic theorist refused to listen to any other possibilities. Root: dogma (from Greek dogma, meaning “opinion” or “belief”); Suffix: -ic (forming adjectives, meaning “pertaining to”)"
"Define: calibrate (kal-ih-brehyt)","v. to check or balance the scale of a measuring device with a standard scale The new thermometer needed to be calibrated before it could be used. Root: caliber (from Arabic qalib, meaning “mold” or “model”); Suffix: -ate (used to form verbs, meaning “to make”)"
"Define: perdition (per-dish-uhn)","n. a state of final spiritual ruin, loss of soul, damnation n. hell Poor moral choices led Johnny down the road to perdition. Prefix: per- (from Latin, meaning “through” or “thoroughly”); Root: dit (from Latin dare, meaning “to give”); Suffix: -ion (forming nouns, indicating an action or condition)"
"Define: beseech (bih-seech)","v. to request urgently The dying man beseeched his family to visit him. Prefix: be- (used to form verbs having a sense of 'thoroughly' or 'completely')"
"Define: canny (can-ee)","adj. careful; shrewd John was a canny negotiator; no matter how bad his bargaining position, he would always come out on top. Suffix: -y (used to form adjectives meaning 'characterized by or inclined to')"
"Define: seminal (sem-uh-nl)","adj. original and influential The seminal works of the artist developed into a new style of interpretation. Root: semin (from Latin semen, meaning 'seed')"
"Define: cantankerous (can-tang-kurr-us)","adj. difficult to handle; ill-tempered The worst part about working in customer service was having to deal with irate, cantankerous callers. Suffix: -ous (used to form adjectives meaning 'full of' or 'having the qualities of')"
"Define: semantic (suh-man-tick)","adj. related to the meaning of words Susan felt that the abortion debate had become too focused on semantic arguments. Root: sem (from Greek sēma, meaning 'sign')"
"Define: serrate (sare-ate)","adj. having toothed edges (“serrated” is an alternate form of the adj.) Kate used the serrate edge of the knife to cut through the tough meat. Root: serr (from Latin serra, meaning 'saw')"
"Define: sever (sev-er)","v. to cut off Unfortunately, to prevent the infection from spreading, the doctors had to sever the infected parts of the hand. Root: sever (from Latin separare, meaning 'to separate')"
"Define: sinuous (sin-you-us)","adj. twisting and winding adj. not direct The sinuous path through the mountains was probably the most dangerous route to take. Root: sinu (from Latin sinus, meaning 'curve' or 'fold')"
"Define: solicitude (suh-liss-ih-tood)","n. caring about others' well being Though she claims not to have any feelings for Julio, she showed a great deal of solicitude when she learned of his illness. Root: solicit (from Latin sollicitus, meaning 'anxious' or 'concerned')"
"Define: solidarity (sol-ih-dare-ih-tee)","n. a feeling of camaraderie with others due to shared goals Several townspeople expressed solidarity with the union members by protesting with them. Root: solid (from Latin solidus, meaning 'whole' or 'undivided'); Suffix: -ity (used to form nouns indicating a state or condition)"
"Name the vocab term: v. to polish or make shine n. a shiny appearance Hint: starts with “b”","burnish synonyms: polish, brighten, shine, buff, enhance He spent hours burnishing the silverware until it gleamed. The marble floors had a burnish that reflected the sunlight beautifully."
"Fill in the blank: The ancient cathedral was held up by massive stone ________. Hint: Starts with “b” and means “to support or strengthen”.","buttresses buttress (but-riss) n. a supporting structure v. to support or encourage"
"Name the vocab term: v. to make vague, unclear statements Hint: starts with “e”","equivocate synonyms: evade, sidestep, hedge, prevaricate, obscure When asked about his plans, he began to equivocate, avoiding a direct answer."
"Fill in the blank: She was considered a ________ of virtue and kindness by everyone who knew her. Hint: Starts with “p” and means “a model of perfection”.","paragon paragon (par-uh-gon) n. a model of excellence"
"Name the vocab term: n. unpleasant, discordant sounds Hint: starts with “c”","cacophony synonyms: noise, clamor, din, racket, uproar The cacophony of traffic and construction made it impossible to concentrate."
"Fill in the blank: The movie's ________ love scenes were so exaggerated that they felt insincere. Hint: Starts with “m” and means “overly sentimental”.","mawkish mawkish (maw-kish) adj. overly sentimental to a sickening point"
"Name the vocab term: v. to make someone do something with flattery or promises Hint: starts with “c”","cajole synonyms: coax, persuade, wheedle, sweet-talk, entice, manipulate He managed to cajole his friend into lending him the car for the weekend."
"Fill in the blank: Her ________ stance on the issue left no room for discussion or compromise. Hint: Starts with “d” and means “asserting opinions as absolute truth”.","dogmatic dogmatic (dawg-matt-ik) adj. rigidly fixed in opinion or expression in an arrogant manner"
"Name the vocab term: v. to check or balance the scale of a measuring device with a standard scale Hint: starts with “c”","calibrate synonyms: align, balance, fix, adjust, standardize, regulate Before starting the experiment, the scientist calibrated the instruments to ensure accuracy."
"Fill in the blank: The villain's actions led him down a path of ________, doomed to eternal suffering. Hint: Starts with “p” and means “eternal damnation or ruin”.","perdition perdition (per-dish-uhn) n. a state of final spiritual ruin, loss of soul, damnation n. hell"
"Name the vocab term: v. to request urgently Hint: starts with “b”","beseech synonyms: beg, appeal, plead, implore, urge, solicit The villagers beseeched the king for help in their time of need."
"Fill in the blank: Her ________ negotiation skills helped her secure a great deal on the contract. Hint: Starts with “c” and means “shrewd and careful”.","canny canny (can-ee) adj. careful; shrewd"
