Front,Back
"Define: aseptic (uh-sep-tik)","adj. free of pathogens or germs adj. with little or no emotion Doctors are always careful to use aseptic surgical equipment to prevent infection. Prefix: a- (from Greek, meaning “not” or “without”); Root: sept (from Greek sēptikos, meaning “putrefying”)"
"Define: prolix (proh-liks)","adj. wordy or prolonged; tedious in length The prolix manuscript took days to read. Prefix: pro- (from Latin, meaning “forward”); Root: lix (from Latin liquere, meaning “to flow”)"
"Define: foolhardy (fool-hahr-dee)","adj. reckless, unwisely bold; thoughtlessly rash It was a foolhardy attempt to climb the Sears Tower that went very wrong. Root: fool (from Old French fol, meaning “foolish”); Suffix: -hardy (from Old French hardi, meaning “bold”)"
"Define: picaresque (pik-uh-resk)","adj. involving clever rogues in episodes of comedy or adventure Huck Finn is a picaresque hero. Root: picaro (from Spanish, meaning “rogue” or “rascal”); Suffix: -esque (from French, meaning “in the style of”)"
"Define: raucous (raw-kuhs)","adj. rough sounding, harsh adj. boisterous, rowdy, disorderly The raucous laughter went on long into the night. Root: rauc (from Latin raucus, meaning “hoarse”)"
"Define: providential (prov-ih-den-shuhl)","adj. to occur as if from divine intervention or great time His providential recovery, when it seemed that he would surely succumb, brought hope to many. Root: provident (from Latin providentia, meaning “foresight”); Suffix: -ial (forming adjectives)"
"Define: antipodal (an-tip-uh-dl)","adj. diametrically opposed to, polar opposite adj. on the opposite side of the earth The couple had totally antipodal personalities, but they enjoyed each other's company. Prefix: anti- (from Greek, meaning “opposite”); Root: pod (from Greek pous, meaning “foot”); Suffix: -al (forming adjectives)"
"Define: pillory (pill-uh-ree)","v. to punish; to hold up for public scorning n. a wooden framework with holes for head and hands, in which criminal offenders are held Dan was pilloried in class for his inability to spell “potato”. Root: pillar (from Old French pilori, meaning “pillar”)"
"Define: infelicitous (in-fuh-liss-ih-tuss)","adj. unfortunate, awkward, inappropriate In Thailand, it is considered infelicitous to touch someone's head. Prefix: in- (from Latin, meaning “not”); Root: felicit (from Latin felicitas, meaning “happiness”); Suffix: -ous (forming adjectives)"
"Define: dilatory (dil-uh-tawr-ee)","adj. tending to delay, put off, or procrastinate adj. intended to slow progress Courtney employed dilatory tactics in the debate in order to collect her thoughts, but the judges noticed and she was docked a point. Root: dilat (from Latin dilatus, meaning “deferred”); Suffix: -ory (forming adjectives)"
"Define: overweening (oh-ver-wee-ning)","adj. presumptuously arrogant or conceited; overconfident, overbearing Ian made the overweening assumption that people would rush to help him. Prefix: over- (meaning “excessive”); Root: ween (from Old English wenan, meaning “to think”); Suffix: -ing (forming adjectives)"
"Define: neologism (nee-awl-uh-djiz-uhm)","n. the creation of new words, expressions, or usages for words “Technophile” is a neologism, just as “UFO” once was. Prefix: neo- (from Greek, meaning “new”); Root: log (from Greek logos, meaning “word”); Suffix: -ism (forming nouns indicating a practice or system)"
"Define: lassitude (lass-ih-tood)","n. a state of listless exhaustion, weakness, or weariness of the mind or body The extreme heat led to a general lassitude that settled on the village from May to October. Root: lass (from Latin lassus, meaning “weary”); Suffix: -itude (forming nouns indicating a state or condition)"
"Define: locution (loh-kyoo-shuhn)","n. a particular word, phrase, or style used by a person or group n. style of speaking, phraseology The newcomers were fascinated by the Aussie's locution. Root: locut (from Latin loqui, meaning “to speak”); Suffix: -ion (forming nouns indicating an action or condition)"
"Define: jocose (joh-kohss)","adj. characterized by a joking or humorous manner The jocose innkeeper could always be counted on for a bit of levity. Root: joc (from Latin jocus, meaning “joke”); Suffix: -ose (forming adjectives indicating fullness or abundance)"
"Define: rend (rend)","v. to forcibly take v. to tear apart The three-year-old decided she wants to play with the teddy bear, so she rended it from her infant sister's hands. Root: rend (from Old English rendan, meaning “to tear”)"
"Define: stanch (stawnch)","v. to cease the flow of a liquid (esp. blood) The doctor's attempt to stanch the flow of blood eventually succeeded, and the patient's blood pressure stabilized. Root: stanch (from Latin stare, meaning “to stand”)"
"Define: solder (sod-er)","v. to weld, fuse, or join (esp. metals) Harry soldered the bits of scrap metal together to make a pet door. Root: solder (from Latin solidare, meaning “to make solid”)"
"Define: demure (duh-myoor)","adj. modest, shy Lindsay was demure and had a tough time opening up to new people. Prefix: de- (from Latin, meaning “down” or “away”); Root: mure (from Old French murer, meaning “to wall”)"
"Define: insensible (in-sen-suh-buhl)","adj. unconscious, unresponsive The boxer lay insensible on the floor of the ring. Prefix: in- (from Latin, meaning “not”); Root: sens (from Latin sentire, meaning “to feel”); Suffix: -ible (forming adjectives indicating capability)"
"Name the vocab term: adj. free of pathogens or germs adj. with little or no emotion Hint: starts with “a”","aseptic synonyms: barren, clean; withdrawn, introverted, sterile, unemotional The hospital room was kept aseptic to prevent infections. His aseptic demeanor made it hard to read his feelings."
"Fill in the blank: The professor's ________ lecture caused several students to lose focus. Hint: Starts with “p” and means “tediously wordy”.","prolix prolix (proh-liks) adj. wordy or prolonged; tedious in length"
"Name the vocab term: adj. reckless, unwisely bold; thoughtlessly rash Hint: starts with “f”","foolhardy synonyms: daredevil, venturous, risky, audacious, imprudent His foolhardy decision to drive through the storm led to disaster."
"Fill in the blank: The novel's ________ hero was always getting into mischief. Hint: Starts with “p” and means “relating to adventures of a roguish hero”.","picaresque picaresque (pik-uh-resk) adj. involving clever rogues in episodes of comedy or adventure"
"Name the vocab term: adj. rough sounding, harsh adj. boisterous, rowdy, disorderly Hint: starts with “r”","raucous synonyms: noisy, chaotic, loud, clamorous, disorderly The raucous laughter filled the noisy bar. The raucous crowd disrupted the concert."
"Fill in the blank: Their ________ meeting led to a lifelong friendship. Hint: Starts with “p” and means “fortunate or timely”.","providential providential (prov-ih-den-shuhl) adj. to occur as if from divine intervention"
"Name the vocab term: adj. diametrically opposed to, polar opposite adj. on the opposite side of the earth Hint: starts with “a”","antipodal synonyms: opposed, contrary, counter, opposite, divergent Their views on politics were antipodal. Australia and Argentina are antipodal regions."
"Fill in the blank: He was ________ in the press for his controversial remarks. Hint: Starts with “p” and means “publicly ridiculed or punished”.","pilloried pillory (pill-uh-ree) v. to punish; to hold up for public scorning n. a wooden framework with holes for head and hands, in which criminal offenders are held"
"Name the vocab term: adj. unfortunate, awkward, inappropriate Hint: starts with “i”","infelicitous synonyms: improper, ill-suited, inopportune, unsuitable His infelicitous comment ruined the otherwise pleasant dinner."
"Fill in the blank: Her ________ approach to her work caused deadlines to be missed. Hint: Starts with “d” and means “slow to act”.","dilatory dilatory (dil-uh-tawr-ee) adj. tending to delay, put off, or procrastinate adj. intended to slow progress"
"Name the vocab term: adj. presumptuously arrogant or conceited, overconfident, overbearing Hint: starts with “o”","overweening synonyms: brash, conceited, pompous, hubristic, egotistical His overweening arrogance made him unpopular among his colleagues."
"Fill in the blank: The tech industry is full of ________ that are hard to keep up with. Hint: Starts with “n” and means “a newly coined word or phrase”.","neologism neologism (nee-awl-uh-djiz-uhm) n. the creation of new words, expressions, or usages for words"
"Name the vocab term: n. a state of listless exhaustion, weakness, or weariness of the mind or body Hint: starts with “l”","lassitude synonyms: lethargy, weariness, fatigue, listlessness, apathy After the long hike, she was overcome with lassitude."
"Fill in the blank: His ________ was filled with regional slang that made him hard to understand. Hint: Starts with “l” and means “a style of speech or expression”.","locution locution (loh-kyoo-shuhn) n. a particular word, phrase, or style used by a person or group n. style of speaking, phraseology"
"Name the vocab term: adj. characterized by a joking or humorous manner Hint: starts with “j”","jocose synonyms: facetious, humorous, funny, playful, lighthearted His jocose personality made him the life of the party."
"Fill in the blank: He tried to ________ the book from her hands. Hint: Starts with “r” and means “to tear apart violently”.","rend rend (rend) v. to forcibly take v. to tear apart"
"Name the vocab term: v. to cease the flow of a liquid (esp. blood) Hint: starts with “s”","stanch synonyms: halt, stop, quench, check The nurse quickly stanched the bleeding."
"Fill in the blank: He carefully ________ the broken circuit board back together. Hint: Starts with “s” and means “joined metal parts together”.","soldered solder (sod-er) v. to weld, fuse, or join (esp. metals)"
"Name the vocab term: adj. modest, shy Hint: starts with “d”","demure synonyms: reserved, bashful, coy, retiring, unassuming She gave a demure smile when complimented."
"Fill in the blank: He was ________ after being hit on the head. Hint: Starts with “i” and means “unconscious or unaware”.","insensible insensible (in-sen-suh-buhl) adj. unconscious, unresponsive"
