Front,Back
"Define: dissociate (dih-soh-see-ate)","v. to consider as separate v. to break away When news of the company's fraud broke out, former affiliates tried to dissociate themselves from the partnership. Prefix: dis- (from Latin, meaning “apart” or “away”), Root: soci (from Latin socius, meaning “companion” or “ally”)"
"Define: dissonant (diss-ih-nunt)","adj. not in agreement; discordant adj. unpleasant or harsh sounding The first song the group performed surprised the audience with its dissonant chords and unusual length. Prefix: dis- (from Latin, meaning “apart” or “away”), Root: son (from Latin sonare, meaning “to sound”), Suffix: -ant (used to form adjectives)"
"Define: distend (dih-stend)","v. to swell or widen The children watched in fascination as the frog distended its throat and croaked. Prefix: dis- (from Latin, meaning “apart” or “away”), Root: tend (from Latin tendere, meaning “to stretch”)"
"Define: distill (dih-still)","v. to make pure v. to take out from The essence of the substance was distilled through a complicated process. Prefix: dis- (from Latin, meaning “apart” or “away”), Root: still (from Latin stillare, meaning “to drip”)"
"Define: divest (dahy-vest)","v. to deprive or dispossess v. to dispose of assets He was divested of his privileges and title after breaking the club's most important rule. Prefix: di- (variant of dis-, meaning “apart” or “away”), Root: vest (from Latin vestire, meaning “to clothe”)"
"Define: doctrinaire (dock-truh-nair)","adj. following theory without regard for practical reality The new president's doctrinaire attitude towards economics led him to go through with some harmful policies. Root: doctrin (from Latin doctrina, meaning “teaching” or “doctrine”), Suffix: -aire (used to form nouns or adjectives, often indicating a person associated with something)"
"Define: elate (ee-late)","v. to fill with optimism or excitement Activists were elated to hear about the passage of the civil rights legislation. Prefix: e- (from Latin, meaning “out” or “from”), Root: lat (from Latin latus, meaning “carried” or “borne”)"
"Define: elegy (ell-ih-djee)","n. a mournful poem or song At her father's funeral, Linda chose to read an elegy by his favorite poet, Keats. Root: eleg (from Greek elegos, meaning “song of mourning”)"
"Define: elucidate (ih-loo-sih-dehyt)","v. to make easier to understand The company introduced simplified diagrams on its packaging to elucidate its new environmentally-friendly manufacturing process. Prefix: e- (from Latin, meaning “out” or “from”), Root: lucid (from Latin lucidus, meaning “clear”), Suffix: -ate (used to form verbs)"
"Define: emaciate (ih-mehy-shee-ehyt)","v. to make or become thin He emerged from the prisoner camp emaciated by months of inadequate rations. Prefix: e- (from Latin, meaning “out” or “from”), Root: maciat (from Latin macies, meaning “leanness”), Suffix: -ate (used to form verbs)"
"Define: emollient (ih-mole-yunt)","adj. having the effect of softening The cream was popular for its moisturizing and emollient properties. Prefix: e- (from Latin, meaning “out” or “from”), Root: moll (from Latin mollis, meaning “soft”), Suffix: -ient (used to form adjectives)"
"Define: venal (veen-l)","adj. capable of being bought or bribed; mercenary; corruptible Naturally, the case was declared a mistrial when its venal judge was shown to have sought bribes from both the prosecution and the defense. Root: ven (from Latin venalis, meaning “for sale”)"
"Define: doggerel (daw-ger-uhl)","n. trivial, poorly constructed verse adj. comic, burlesque; loose and irregular The doggerel found in some publications is often a result of lazy editing. Root: dogger (possibly from Middle English doggerel, meaning “worthless”)"
"Define: manse (manss)","n. a clergyman's house n. a mansion The architect just finished the plans for the minister's new manse. Root: manse (from Latin mansus, meaning “dwelling”)"
