Front,Back
"Define: obfuscate (ob-fuh-skeyt)","v. to deliberately obscure, to make confusing, to bewilder The governor obfuscated the issue with big words and numbers. Prefix: ob- (from Latin, meaning “toward” or “against”); Root: fusc (from Latin fuscus, meaning “dark”)"
"Define: encomium (en-koh-mee-uhm)","n. enthusiastic praise That country's national anthem is an encomium to the heroes of a war long past. Prefix: en- (from Greek enkomion, meaning “in” or “within”); Root: komos (from Greek, meaning “celebration”)"
"Define: din (din)","n. loud sustained noise, confusing or tumultuous sound During the concert, Jill couldn't hear Rick over the din of the loudspeakers. Root: din (from Old English dyne, meaning “noise”)"
"Define: alloy (n. al-oi; v. al-oi)","n. a mixture of superior and inferior ingredients v. to debase by mixing with something inferior The heroism one sees nowadays is often alloyed with some degree of self-interest. Prefix: al- (from Latin ad-, meaning “to” or “toward”); Root: lig (from Latin ligare, meaning “to bind”)"
"Define: pugilism (pyoo-djuh-liz-uhm)","n. the skill or practice of fighting with fists; boxing Mike Tyson is known throughout the world for his pugilism. Root: pugil (from Latin pugil, meaning “boxer”)"
"Define: sanctimony (sangk-tuh-moh-nee)","n. self-righteousness, pretended piety, insincere holiness His sanctimony was laughable, since we all knew he was one of the worst offenders. Root: sanct (from Latin sanctus, meaning “holy”); Suffix: -mony (from Latin -monia, indicating a state or condition)"
"Define: baleful (beyl-fuhl)","adj. full of sinister influence, pernicious, ominous The basilisk's baleful glare is lethal. Root: bale (from Old English bealu, meaning “evil” or “harm”); Suffix: -ful (indicating “full of”)"
"Define: hallow (hal-oh)","v. to set apart as holy, to sanctify The site for the church was hallowed in a special ceremony. Root: hallow (from Old English halgian, meaning “to make holy”)"
"Define: ostensible (uh-sten-suh-buhl)","adj. apparent adj. pretended The oil spill was the ostensible result of lax safety regulations. Root: ostens (from Latin ostendere, meaning “to show”); Suffix: -ible (indicating “capable of”)"
"Define: sinecure (sahy-nih-kyoor)","n. a comfortable job requiring little work Carolyn's position in the office is a sinecure; she does nothing all day yet she draws the same salary as everyone else. Prefix: sine- (from Latin, meaning “without”); Root: cura (from Latin, meaning “care”)"
"Define: lackey (lak-ee)","n. a male servant, servile follower, toady Lori's boyfriend becomes a lackey during her shopping trips. Root: lackey (from Middle French laquais, meaning “footman” or “servant”)"
"Define: redress (ree-dress)","v. to set right, to remedy n. compensation or restitution for a wrong The peaceful petitioning for redress of wrongs is a right enshrined in our country's founding document. Prefix: re- (from Latin, meaning “again” or “back”); Root: dress (from Old French dresser, meaning “to arrange”)"
