Front,Back
"Define: odium (oh-dee-um)","n. repugnance, hatred n. strong dislike The popular odium of attorneys is often unmerited. Root: odi (from Latin odium, meaning “hatred”)"
"Define: officious (uh-fish-us)","adj. prone to giving unwanted advice I make a habit of giving honest opinions, but I try to avoid being officious with my friends. Prefix: ob- (from Latin, meaning “toward” or “against”); Root: facere (from Latin, meaning “to do” or “to make”); Suffix: -ious (forming adjectives, meaning “full of” or “having the qualities of”)"
"Define: opaque (owe-peyk)","adj. blocking all light adj. hard to understand The windows became so dirty they were almost opaque. Root: opaqu (from Latin opacus, meaning “shady” or “dark”)"
"Define: opportune (opp-er-tune)","adj. happening under fitting circumstances, or at an appropriate or favorable time The students waited for an opportune moment to surprise their teacher with the bouquet of flowers they had prepared. Prefix: ob- (from Latin, meaning “toward” or “against”); Root: port (from Latin portus, meaning “harbor” or “port”)"
"Define: superfluous (suh-per-flu-us)","adj. more than necessary; unnecessary The student's essay was full of superfluous phrases that needed to be deleted. Prefix: super- (from Latin, meaning “above” or “beyond”); Root: flu (from Latin fluere, meaning “to flow”); Suffix: -ous (forming adjectives, meaning “full of”)"
"Define: supersede (sue-per-seed)","v. to substitute; to take precedence over It had been my understanding that the new tax code supersedes the old one, but actually both are in vigor simultaneously. Prefix: super- (from Latin, meaning “above” or “beyond”); Root: sed (from Latin sedere, meaning “to sit”)"
"Define: supplant (suh-plant)","v. to replace The higher-ups tried to supplant rebellious teachers with conformists. Prefix: sub- (altered to sup- before certain consonants, meaning “under” or “below”); Root: plant (from Latin plantare, meaning “to plant”)"
"Define: supplicate (sup-lih-kate)","v. to humbly ask The churchgoers then bowed their heads and supplicated God to answer their prayers. Prefix: sub- (altered to sup- before certain consonants, meaning “under” or “below”); Root: plic (from Latin plicare, meaning “to fold”)"
"Define: surmount (ser-mount)","v. to overcome v. to rise above Through sheer determination, he was able to surmount his disadvantages and win the contest outright. Prefix: sur- (from Old French, meaning “over” or “above”); Root: mount (from Latin montare, meaning “to climb”)"
"Define: surreptitious (ser-up-tish-us)","adj. secretive Since they were not allowed to speak, the couple exchanged surreptitious glances from across the room. Prefix: sub- (altered to sur- before certain consonants, meaning “under” or “secretly”); Root: rapt (from Latin rapere, meaning “to seize”); Suffix: -ious (forming adjectives, meaning “full of”)"
"Define: symbiotic (sim-bee-ott-ik)","adj. related to a relationship between two or more organisms living together The whale and the small fish that cling to its body have a symbiotic relationship. Prefix: sym- (from Greek syn, meaning “together”); Root: bio (from Greek bios, meaning “life”); Suffix: -ic (forming adjectives, meaning “pertaining to”)"
"Define: synapse (sin-apse)","n. the small gap between the cells of nerves Neurotransmitters travel across the synapse between brain cells. Prefix: syn- (from Greek, meaning “together”); Root: apse (from Greek haptein, meaning “to fasten”)"
"Define: synchronous (sing-kruh-nuss)","adj. operating at the same time or at the same rate The film was notable for its synchronous premiere in 11 capital cities around the globe. Prefix: syn- (from Greek, meaning “together”); Root: chron (from Greek chronos, meaning “time”); Suffix: -ous (forming adjectives, meaning “full of”)"
"Define: tacit (tass-it)","adj. implied or unspoken There was a tacit agreement between the two companies that neither would expand into the other's city. Root: tac (from Latin tacitus, meaning “silent”)"
"Define: taciturn (tass-ih-turn)","adj. tending to be silent; quiet Some of the students were quite taciturn and had to be asked to participate more. Root: tac (from Latin tacitus, meaning “silent”); Suffix: -urn (forming adjectives, indicating a tendency)"
"Define: exacerbate (ig-zass-er-bate)","v. to make worse The children's screaming exacerbated their father's headache. Prefix: ex- (from Latin, meaning “out” or “thoroughly”); Root: acerb (from Latin acerbus, meaning “bitter” or “harsh”)"
"Define: exact (ig-zact)","v. to forcibly obtain The detectives finally exacted the truth from the witness. Prefix: ex- (from Latin, meaning “out” or “thoroughly”); Root: act (from Latin agere, meaning “to do” or “to drive”)"
"Define: exculpate (ek-skull-pate)","v. to free from blame The political prisoner was fully exculpated only when the dictatorship was overthrown and an independent truth commission established. Prefix: ex- (from Latin, meaning “out” or “from”); Root: culp (from Latin culpa, meaning “fault” or “blame”)"
"Define: exhort (ig-zort)","v. to urge by strong appeal Taking the loudspeaker in her hand, the policewoman exhorted the kidnapper to release his hostage. Prefix: ex- (from Latin, meaning “out” or “thoroughly”); Root: hort (from Latin hortari, meaning “to encourage” or “to urge”)"
"Define: exigent (ek-suh-djunt)","adj. requiring immediate attention; pressing, demanding The show's run was cut short by an exigent lack of funds. Prefix: ex- (from Latin, meaning “out” or “thoroughly”); Root: ig (from Latin agere, meaning “to drive” or “to act”); Suffix: -ent (forming adjectives, meaning “performing an action”)"
"Name the vocab term: n. blame n. strong dislike Hint: starts with “o”","odium synonyms: shame, dishonor; disgust, detestation, contempt, aversion, revulsion He faced odium from his peers after the project failed due to his oversight. The odium directed at the politician was palpable after the controversial decision."
"Fill in the blank: Her ________ nature made her unpopular at social gatherings, as she constantly offered unsolicited tips. Hint: Starts with “o” and means “meddlesome in offering unwanted help”.","officious officious (uh-fish-us) adj. prone to giving unwanted advice"
