Front,Back
"Define: pedant (ped-ant)","n. someone who shows off knowledge n. someone who pays undue attention to rules Dominic is a pedant who annoys everyone in the class with his long-winded questions and unnecessary quotes from the textbook. Root: ped (from Greek paideia, meaning “education” or “child”)"
"Define: penchant (pen-chunt)","n. a strong preference for something Kate had a penchant for interior decorating, so she took over the role of set designer for the play. Root: pend (from Latin pendere, meaning “to hang”)"
"Define: penury (pen-yuh-ree)","n. extreme poverty or destitution Having lived in penury their whole lives, the townspeople were very grateful for the donations sent by the charitable organization. Root: pen (from Latin penuria, meaning “want” or “scarcity”)"
"Define: tangent (tan-djunt)","n. a different topic adj. touching Halfway into her speech on global warming, she went on a tangent about materialism in modern society. Root: tang (from Latin tangere, meaning “to touch”)"
"Define: technocracy (teck-knock-ruh-see)","n. rule by scientists In the movie, the future is a technocracy where programmers rule the entire world. Prefix: techno- (from Greek techne, meaning “art” or “skill”); Suffix: -cracy (from Greek kratos, meaning “power” or “rule”)"
"Define: tedium (tee-dee-um)","n. dullness n. the feeling of being bored The tedium of a fixed routine made John reconsider his plans to become a teacher. Root: ted (from Latin taedium, meaning “weariness”)"
"Define: tenacious (tuh-nay-shuss)","adj. sticking strongly to something adj. having greater than average longevity adj. stubborn Despite the sudden thunderstorm, the tenacious runners continued to move towards the finish line. Root: ten (from Latin tenere, meaning “to hold”); Suffix: -acious (indicating a tendency or quality)"
"Define: timorous (tim-er-us)","adj. easy to frighten The timorous young man jumped at even the slightest sound. Root: timor (from Latin timor, meaning “fear”); Suffix: -ous (indicating possessing or full of)"
"Define: tirade (tahy-raid)","n. a long, angry rant One student asked a simple question about the death penalty, causing the teacher to launch into a tirade about the topic. Root: tir (from French tirade, meaning “a long speech”)"
"Define: torpid (tore-pid)","adj. lacking physical or mental energy The student was torpid and generally uninvolved in discussions, so the teacher had to speak with him about his participation. Root: torp (from Latin torpere, meaning “to be numb or sluggish”)"
"Define: torpor (tore-per)","n. a state of low physical or mental energy The doctors discovered that her torpor was a symptom of a severe illness. Root: torp (from Latin torpere, meaning “to be numb or sluggish”)"
"Define: torrid (tore-id)","adj. extremely hot adj. having intense emotion or passion The president was accused of carrying on a secret and torrid love affair with his aide. Root: torr (from Latin torrere, meaning “to parch or scorch”)"
"Define: totalitarianism (toe-tal-ih-tare-ee-un-izm)","n. absolute, dictatorial control by the government After years of civil war, one party emerged triumphant and dominated the country in a return to totalitarianism. Root: total (from Latin totalis, meaning “whole”); Suffix: -arian (indicating a person who advocates or practices something); Suffix: -ism (indicating a system or practice)"
"Define: tractable (track-tuh-bul)","adj. easy to handle or control adj. easily shaped After some training, the dog became tractable enough to be sold as a pet. Root: tract (from Latin tractare, meaning “to handle or manage”); Suffix: -able (indicating capable of being)"
"Define: anomalous (uh-nom-ih-luss)","adj. different from the norm; aberrant The new shampoo was a success, although there were a few anomalous cases in which it actually damaged consumers' hair. Prefix: an- (from Greek an-, meaning “not”); Root: omal (from Greek homalos, meaning “even” or “regular”); Suffix: -ous (indicating possessing or full of)"
"Define: antipathy (an-tip-uh-thee)","n. aversion; loathing The couple tried to hide their antipathy toward the new neighbors so as not to seem unwelcoming. Prefix: anti- (from Greek anti-, meaning “against”); Root: path (from Greek pathos, meaning “feeling” or “suffering”)"
"Define: approbate (ap-ruh-behyt)","v. to approve The judge approbated her right to keep the house. Prefix: ap- (variant of ad-, from Latin, meaning “to”); Root: prob (from Latin probare, meaning “to test” or “to prove”)"
"Define: appropriate (uh-pro-pree-ehyt)","v. to take by force v. to assign for a certain purpose During the chaos following the president's death, his wife appropriated the role of head of the organization. Prefix: ap- (variant of ad-, from Latin, meaning “to”); Root: propri (from Latin proprius, meaning “one's own”); Suffix: -ate (indicating to make or to act)"
"Define: arbiter (are-bih-ter)","n. a person chosen to solve a dispute One of her duties as babysitter was to act as arbiter when the children got into arguments. Root: arbit (from Latin arbiter, meaning “judge” or “witness”)"
"Define: archetype (are-kih-tahyp)","n. a typical example of something n. the original on which something else is modeled Dante's Divine Comedy was the archetype upon which many derivative works were based. Prefix: arch- (from Greek archi-, meaning “chief” or “principal”); Root: type (from Greek typos, meaning “model” or “impression”)"
"Name the vocab term: n. someone who shows off knowledge n. someone who pays undue attention to rules Hint: starts with “p”","pedant synonyms: sophist, doctrinaire, know-it-all, stickler, nitpicker, formalist His friends often described him as a pedant, constantly correcting their grammar. The teacher was a pedant who enforced every rule strictly, leaving little room for creativity."
"Fill in the blank: She has a ______ for classic literature, often choosing to read novels from the 19th century. Hint: Starts with “p” and means “a strong liking or tendency”.","penchant penchant (pen-chunt) n. a strong preference for something"
